"5htr1b" "5htr1bchag80" "58e02" "58e02thg80" "c061" "hl8" "mb025b" "mb032b" "mb056b" "mb058b" "mb060b" "mb065b" "mb109b" "mb299c" "mb301b" "mb304b" "mb315c" "mb438b" "mb439b" "mz19" "mz19chag80" "mz840" "mz840np6510" "NorpAChrimson" "NorpAChrimsonCo" "np47" "np47chag80" "np1528" "np2758" "np5272" "np5272mz840" "np6510" "np6510np5272" "or42b" "or42bCo" "thc1" "thd1" "thd4" "thdprime" "thf1" "thf2" "thf3" "thg1" "thg4chag80" "thg4thg80" "trpa1gr28bd" "trpa1gr28bdCo" "trpa1Gr28bd_mutants"
"22" 0.01514 NA 0.07428 0.3901 NA NA NA -0.005392 -0.3813 NA 0.07589 -0.08858 0.1188 NA NA NA 0.169 -0.9187 0.1576 0.01983 -0.1017 NA 0.07837 0.3824 NA -0.1255 -0.3038 NA 0.02627 -0.2046 -0.4092 -0.1475 0.1426 -0.238 -0.1175 0.3868 -0.05829 -0.04476 -0.09671 0.05217 NA 0.09504 -0.1247 0.1968 -0.05312 -0.4838 0.4873 NA
"23" 0.03544 NA -0.03098 0.1783 -0.1647 0.2835 0.1276 -0.2764 -0.1306 NA 0.2134 0.1437 0.05521 NA 0.1481 NA 0.2015 0.09136 -0.006072 -0.1332 -0.1994 -0.07058 -0.3743 -0.0005846 -0.5375 0.1043 -0.4533 0.4591 -0.3171 -0.5263 -0.1501 -0.06903 -0.2331 0.1194 0.3406 -0.0521 0.4219 0.07227 0.06551 -0.2103 0.1917 0.03321 0.09114 -0.0151 -0.01442 -0.3146 -0.01778 NA
"24" -0.02496 NA 0.03778 0.126 -0.5011 0.2971 -0.339 -0.2446 0.1705 -0.2653 -0.09989 -0.1797 -0.09235 NA 0.7781 NA -0.02388 -0.3784 0.3756 -0.2633 -0.6312 NA -0.09135 -0.1923 0.1345 0.2398 -0.08304 -0.1339 0.2655 NA -0.3621 -0.237 -0.2446 0.1366 -0.1493 -0.02834 -0.003531 NA -0.1955 0.1559 0.07002 0.08146 -1 0.1311 -0.02948 0.06964 0.07842 -0.1798
"25" -0.01179 NA -0.1401 0.09745 -0.1599 0.1182 0.02417 0.5521 -0.03339 -0.008105 0.1461 0.2666 0.3415 NA 0.1646 -0.04736 -0.06892 NA -0.1902 -0.04592 0.01954 -0.1465 -0.04049 -0.1242 0.005098 0.473 -0.03385 -0.1174 0.0573 0.007106 -0.4272 -0.2373 -0.316 -0.2334 -0.02857 0.01146 -0.01742 NA -0.2612 0.02228 0.07369 -0.03778 0.003747 0.1649 -0.003877 0.2823 0.1252 -0.03422
"26" 0.08607 NA -0.1065 0.2692 -0.2751 0.371 0.133 -0.4162 0.0425 0.1684 0.28 0.01333 -0.3362 NA 0.06959 NA 0.1163 0.1941 -0.02355 -0.179 -0.0953 -0.04113 -0.1422 0.00207 0.0689 0.0318 0.08799 -0.1851 -0.4125 -0.03318 -0.2051 0.2306 -0.08155 -0.06905 0.2383 0.02094 0.1231 -0.005735 0.05016 0.5859 -0.001897 -0.1877 -0.1577 -0.08443 -0.00135 -0.5179 0.08447 -0.197
"27" -0.02386 0.05372 0.008708 0.2914 -0.03536 0.2844 0.4947 0.1195 -0.02842 -0.2563 0.1246 0.1296 -0.259 0.1148 0.2458 0.2296 0.08551 -0.1554 0.03856 -0.1632 -0.1496 -0.1678 0.03657 -0.01997 -0.05663 -0.1604 -0.03933 0.06108 -0.282 0.2032 -0.145 -0.3546 -0.2367 -0.15 0.1876 0.0522 0.1741 -0.02574 -0.08778 0.628 0.02852 0.01761 0.1117 0.1623 -0.002462 -0.4743 -0.0168 0.001801
"28" 0.03889 -0.1617 0.03906 0.0578 -0.3614 0.1737 -0.06261 0.1494 0.3161 -0.4541 0.1297 0.1429 -0.06905 0.004088 0.2854 -0.6254 -0.1139 -0.1637 0.197 -0.1874 -0.2425 0.02781 0.01461 0.0525 0.008222 0.09446 0.1551 -0.0501 -0.1652 -0.05578 -0.08694 -0.1566 -0.1192 0.1135 0.1097 0.1537 0.1597 0.03736 -0.2299 0.1242 0.02924 0.1956 -0.04274 -0.05034 0.06105 -0.6674 0.08982 -0.1986
"29" -0.0145 0.1226 -0.05393 0.5475 -0.08447 0.3177 0.3142 -0.2884 0.1044 0.2574 0.08483 0.2375 0.1189 0.141 0.1476 -0.000217 -0.05273 0.2747 0.1566 -0.1211 -0.3489 -0.1131 -0.06487 0.02296 -0.09442 -0.1529 -0.1531 -0.1262 -0.5271 0.1258 -0.2273 -0.3397 -0.3685 0.07625 0.03277 -0.03262 0.09614 0.08119 -0.06426 -0.2414 -0.05727 0.1806 -0.003466 -0.04483 0.04246 -0.3141 0.02219 0.2081
"30" 0.03563 0.1822 0.1456 0.1346 -0.2385 0.3254 -0.06564 -0.09869 -0.01156 -0.1236 0.3052 -0.03055 -0.2893 0.03148 0.1979 0.08559 0.04425 -0.6697 -0.4777 -0.08102 -0.3733 -0.2372 0.2561 -0.1381 -0.2269 -0.05475 0.09007 -0.0007105 -0.04857 -0.2932 -0.232 -0.04982 -0.06016 0.01103 0.4194 -0.08189 0.02293 -0.3095 0.07008 0.3185 -0.1378 0.001512 -0.2198 0.1759 -0.003344 -0.4513 -0.06441 -0.3457
"31" 0.03834 0.1369 0.03071 -0.1803 -0.01737 0.1059 -0.1414 -0.1862 -0.3666 0.07099 -0.01158 0.1165 0.1817 0.1753 -0.1518 NA 0.2284 -0.0833 -0.1558 0.007396 -0.2426 0.01213 -0.03771 -0.07695 -0.009471 -0.007869 -0.7679 0.07628 -0.009363 -0.0637 -0.4004 -0.3987 -0.04865 0.09921 0.09212 -0.0853 0.265 0.0571 -0.03905 0.2182 -0.0125 0.2513 -0.09684 0.1967 -0.07354 -0.362 -0.1203 -0.3556
