"trpa1gr28bdCo" "trpa1gr28bd" "hl8" "5htr1bchag80" "58e02thg80" "mb065b" "thd1" "thg1" "thf3" "mb301b" "mb060b" "thf2" "thf1" "thd4" "5htr1b" "mb056b" "mb299c" "thg4chag80" "58e02" "thc1" "mb304b" "mb315c" "thg4thg80" "mb025b" "mb032b" "mb058b" "mb438b" "mz840" "mb439b" "mz840np6510" "mb109b" "thdprime" "np6510" "np1528" "np47" "np6510np5272" "np47chag80" "mz19" "np5272" "mz19chag80" "np5272mz840"
"34" -0.03808 0.06061 0.1416 0.5599 0.09605 0.2646 0.08219 0.08489 0.04127 0.2312 -0.05935 -0.2644 0.09371 0.04803 0.1217 0.1896 -0.03251 -0.01637 -0.08006 -0.02741 0.05522 0.1203 0.0278 -0.1441 0.1222 -0.1423 -0.5515 0.2398 -0.3332 -0.01446 -0.06401 -0.2447 0.08176 -0.01936 -0.2949 -0.3187 0.003206 -0.06445 -0.1195 0.01178 -0.2295
"35" 0.01962 -0.5272 0.0079 0.4218 0.271 0.1394 0.2331 -0.07536 -0.07832 0.5274 0.1341 0.1154 -0.1926 -0.06427 -0.03716 -0.115 0.01312 -0.04145 0.1532 0.05204 -0.01448 0.07653 0.02551 -0.1641 -0.01936 0.03143 -0.2873 -0.1103 -0.3053 -0.1599 -0.3387 -0.004356 -0.096 -6.353e-05 -0.316 -0.02958 -0.09157 0.003172 -0.1047 -0.2981 -0.01286
"36" 0.03669 -0.4048 0.1824 0.266 0.0879 -0.3444 0.3373 0.1308 -0.03331 0.02399 0.01536 0.1131 -0.2633 NA 0.2314 0.0288 -0.074 0.04103 -0.1999 0.03659 -0.9352 -0.003496 0.009629 -0.2292 0.02044 0.2957 -0.3035 -0.3482 0.2356 -0.2134 -0.01141 -0.07464 0.1107 -0.1994 0.0745 -0.151 0.02337 -0.218 -0.1716 -0.2199 -0.8134
"37" -0.06881 -0.7816 0.3089 0.03983 0.3121 0.1979 0.08159 -0.01785 0.0752 0.2121 0.0261 0.04651 0.1718 0.1857 0.1806 -0.2931 0.4375 0.1024 0.06396 0.05579 0.1955 0.05604 0.001965 -0.5302 -0.2358 0.3223 -0.09692 -0.1455 -0.323 -0.08521 -0.0452 -0.09737 0.07869 -0.0184 -0.2731 -0.1331 -0.2726 0.02708 0.08976 -0.102 -0.4403
"38" -0.03901 -0.1543 0.08125 -0.8288 0.2003 0.1689 0.09725 0.1117 0.06839 0.02345 0.04776 0.125 0.5771 0.08959 0.1669 0.000576 -0.1273 0.08242 -0.05372 -0.05681 0.09707 0.07967 -0.003103 0.305 -0.4115 -0.09431 0.2434 -0.00986 -0.204 -0.2506 -0.01891 -0.1471 0.01733 -0.2049 0.06724 -0.07203 -0.1189 -0.01865 -0.4646 -0.4295 -0.2199
"39" -0.1389 -0.8067 -0.1776 NA -0.1156 0.01216 0.4422 -0.2262 0.01526 0.1633 0.1926 -0.04864 -0.3529 0.3352 0.03029 -0.1308 NA 0.04337 0.2282 -0.05955 -0.02994 0.07436 -0.1215 -0.2312 -0.2654 NA 0.1149 -0.1328 0.3195 0.109 -0.03335 0.006293 -0.2326 -0.2769 -0.2785 -0.1309 0.008799 -0.111 -0.1401 -0.001248 0.4354
"40" 0.03392 -0.3083 0.1226 NA 0.1579 0.3219 -0.151 0.1964 0.2318 0.346 0.05859 0.05048 0.1516 -0.08711 0.04891 0.2068 NA 0.3725 -0.00192 -0.03802 -0.0694 -0.2473 -0.03317 -0.4612 -0.07218 NA 0.2266 0.02245 -0.01381 -0.2751 -0.2826 -0.1653 -0.1765 -0.4981 -0.2789 -0.2187 -0.1639 -0.001614 -0.08503 -0.1352 -0.07538
"41" -0.002817 -0.01047 0.2549 -0.09691 0.3907 0.5561 0.08818 -0.08087 -0.2274 0.1462 0.06969 0.1708 0.2108 -0.5107 -0.1231 0.03118 -0.1549 0.1562 0.06759 -0.101 0.1094 0.02766 -0.07229 0.09485 0.3149 0.07811 0.0357 -0.2602 0.1014 -0.1313 -0.1416 0.03925 -0.1513 -0.1175 0.1361 -0.1162 0.04281 -0.1075 -0.2694 0.1028 -0.199
"42" 0.05895 -0.2537 0.136 -0.04024 0.214 0.2529 -0.02134 0.1667 0.005394 0.01933 -0.09164 0.1004 0.01623 0.02759 -0.01619 0.02322 0.008532 0.06702 0.244 0.04187 -0.07563 -0.1333 -0.09122 0.1107 -0.367 0.1101 -0.3658 -0.2561 -0.1288 -0.05906 0.2136 -0.006994 -0.13 -0.2152 -0.1134 0.03756 -0.0198 -0.2086 -0.1896 -0.05405 -0.3526
"43" -0.03699 -0.3262 0.2421 0.08098 0.3213 -0.1443 0.04861 0.1462 0.09646 0.1469 -0.08136 0.09618 0.04672 0.1054 0.05458 -0.1803 0.1911 0.1561 0.3254 0.101 0.2782 0.08314 0.06771 -0.2261 0.3984 0.2351 0.05019 0.0665 0.03894 -0.1465 -0.4262 -0.1411 -0.1541 -0.4162 -0.2406 -0.1132 0.01963 -0.07822 -0.2169 0.04343 -0.7353
"44" 0.0149 -0.1993 0.06381 0.04911 0.324 0.01693 -0.1086 0.1419 0.1221 -0.1061 -0.2453 0.02661 -0.183 0.04729 0.09195 0.324 0.2504 0.04299 -0.0101 0.031 -0.117 -0.09533 0.03595 0.1894 -0.05606 -0.3909 -0.01729 -0.2733 -0.1041 -0.09036 -0.2599 -0.1558 0.01941 0.1044 -0.3167 -0.02498 -0.2543 -0.09019 -0.2839 -0.1567 -0.2845
"45" 0.1291 -0.6336 0.1443 0.2698 0.2117 0.02693 0.1045 0.04651 -0.002602 0.1897 -0.1229 0.04263 -0.1306 0.1354 -0.06479 0.2139 0.1066 -0.03723 -0.1824 0.005711 0.1129 -0.05225 -0.01132 0.1819 0.2443 0.3104 -0.6315 0.03836 -0.06356 0.162 0.05145 0.06584 -0.2168 -0.05081 -0.1576 -0.2616 -0.0835 -0.1029 -0.2599 -0.1209 -0.4863
